epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.79097,1.72503,3.72804,1.8106,0.24677,0.08342,0.13533,0.06523,1.66937,2.93157,1.75613,0.000470453,0.000470453,0.000470453
2,16.3707,1.88512,3.46901,1.94515,0.14181,0.24033,0.11116,0.04242,2.06603,3.53541,2.35414,0.000853054,0.000853054,0.000853054
3,24.2606,1.98295,3.38281,2.06363,0.18548,0.25614,0.15771,0.05628,2.06135,2.91377,2.20852,0.00114134,0.00114134,0.00114134
4,32.486,1.93862,3.18306,2.03654,0.35615,0.24177,0.25564,0.09666,1.98434,2.66103,2.17168,0.00100459,0.00100459,0.00100459
5,40.1418,1.81638,2.92887,1.90553,0.31288,0.32007,0.25194,0.11071,1.79226,2.46959,1.88151,0.000863116,0.000863116,0.000863116
6,47.0634,1.82002,2.76375,1.88432,0.38118,0.3246,0.31227,0.14934,1.72557,2.27621,1.82092,0.000721645,0.000721645,0.000721645
7,54.0359,1.70783,2.57665,1.79283,0.38591,0.40666,0.3723,0.17082,1.69264,2.12386,1.74662,0.000580174,0.000580174,0.000580174
8,61.8533,1.62515,2.38304,1.7258,0.39774,0.42774,0.40827,0.19959,1.58905,2.03426,1.67893,0.000438703,0.000438703,0.000438703
9,68.8933,1.58041,2.30089,1.69995,0.50279,0.4358,0.45692,0.22988,1.51775,1.89452,1.61069,0.000297232,0.000297232,0.000297232
10,76.9011,1.4671,2.15965,1.60794,0.48092,0.46158,0.49991,0.27248,1.41458,1.78037,1.53406,0.000155761,0.000155761,0.000155761
